elapse,in,out,current,existing,creating,averageLatency
36513926145,0,0,0,7,0,2.1615408083499017
36614172002,0,0,0,7,0,2.1615408083499017
36714244882,0,0,0,7,0,2.1615408083499017
36814271263,0,0,0,7,0,2.1615408083499017
36914407600,0,0,0,7,0,2.1615408083499017
37013405233,0,0,0,7,0,2.1615408083499017
37113932288,0,0,0,7,0,2.1615408083499017
37214746041,0,0,0,7,0,2.1615408083499017
37314545542,0,0,0,7,0,2.1615408083499017
37414305566,0,0,0,7,0,2.1615408083499017
37513608069,0,0,0,7,0,2.1615408083499017
37613684951,0,0,0,7,0,2.1615408083499017
37713822947,0,0,0,7,0,2.1615408083499017
37814229598,0,0,0,7,0,2.1615408083499017
37913915242,0,0,0,7,0,2.1615408083499017
38013905705,0,0,0,7,0,2.1615408083499017
38114414139,0,0,0,7,0,2.1615408083499017
38215290962,0,0,0,7,0,2.1615408083499017
38314336607,0,0,0,7,0,2.1615408083499017
38412990463,0,0,0,7,0,2.1615408083499017
38513873594,0,0,0,7,0,2.1615408083499017
38614346162,0,0,0,7,0,2.1615408083499017
38713859966,0,0,0,7,0,2.1615408083499017
38814258316,0,0,0,7,0,2.1615408083499017
38913597962,0,0,0,7,0,2.1615408083499017
39014545821,0,0,0,7,0,2.1615408083499017
39113256351,0,0,0,7,0,2.1615408083499017
39214084044,0,0,0,7,0,2.1615408083499017
39313675818,0,0,0,7,0,2.1615408083499017
39413420039,0,0,0,7,0,2.1615408083499017
39514375711,0,0,0,7,0,2.1615408083499017
39613074467,0,0,0,7,0,2.1615408083499017
39713829081,0,0,0,7,0,2.1615408083499017
39813965037,0,0,0,7,0,2.1615408083499017
39914025129,0,0,0,7,0,2.1615408083499017
40013876569,0,0,0,7,0,2.1615408083499017
40113659914,0,0,0,7,0,2.1615408083499017
40213224099,5,0,0,7,0,2.157391892857144
40313857760,6,4,0,7,0,2.1843886464766435
40413631768,4,5,0,7,0,2.181064687351779
40513267567,4,5,0,7,0,2.1777570899763226
40613761807,6,3,1,7,1,2.18567476565577
40714502976,5,6,0,7,4,2.189626531630649
40813606754,12,6,6,7,4,2.213305677381419
40913569395,7,7,5,8,5,2.4240505924189137
41014245980,5,8,0,11,2,2.6556985663682373
41113616890,4,7,0,11,2,2.651675192771085
41214991547,9,6,0,13,0,2.6428021084430675
41314246104,8,9,0,13,1,2.6352121776061783
41413043739,5,7,0,13,1,2.6302809468208097
41513549100,2,5,0,13,1,2.6283000785521757
41613853039,2,3,0,14,0,2.626293939207388
41713137552,2,3,0,14,0,2.624325302575933
41812899632,3,2,0,14,0,2.621572520737328
41914950393,6,3,0,14,0,2.615669664367817
42013758629,5,5,0,14,0,2.610926362141492
42114596318,7,5,0,14,0,2.6045106781083143
42214348176,2,7,0,14,0,2.6025613494664634
42312896479,8,3,0,14,0,2.5950183487841945
42413949531,7,7,0,14,0,2.588312488821523
42514077252,6,5,0,14,0,2.5826082544423437
42613248345,5,9,0,14,0,2.5778510528301877
42714416679,5,4,0,14,0,2.573129220338982
42814724670,6,3,0,14,0,2.567519252536639
42914119595,3,5,0,14,0,2.5646963599849837
43013645850,7,7,0,14,0,2.558077421190564
43113213898,5,7,0,14,0,2.553498159192824
43203422183,4,3,0,14,0,2.5498210593283566
43313536986,2,6,0,14,0,2.5479993639075302
43413756932,4,1,0,14,0,2.544333667907668
43513392172,4,4,0,14,0,2.540901616728623
43614130351,7,5,0,14,0,2.534392530589543
43713867507,2,6,0,14,0,2.532546280103741
43814484294,6,2,0,14,0,2.5270768990757846
43913753940,7,6,0,14,0,2.5206860376106186
44013764378,9,7,0,14,0,2.5127733502388825
44113773095,7,9,0,14,0,2.50642050659824
44213355503,2,7,0,14,0,2.5045964886446885
44314036956,8,3,0,14,0,2.497422670562454
44414526639,4,6,0,14,0,2.4938255722100653
44513998301,5,5,0,14,0,2.4898155216599926
44614161830,10,6,0,14,0,2.481325198404063
44714031699,6,9,0,14,0,2.4760773098081796
44813811691,6,6,0,14,0,2.4708318064283126
44913882994,3,7,0,14,0,2.468188294733044
45015055654,2,3,0,14,0,2.4664649574621476
45113374654,5,2,0,14,0,2.4624049175962566
45214509553,3,3,0,14,0,2.4599604640546358
45313549837,18,4,5,14,0,2.456042269409659
45413652161,7,12,0,14,0,2.647346397221232
45513903539,8,13,0,14,0,2.6713916362344574
45614011013,13,9,0,14,0,2.671279321782178
45714407060,11,9,1,14,0,2.686738624031007
45813146600,7,11,0,14,0,2.700026956781447
45914319400,16,11,2,14,0,2.6971044804195805
46014940135,9,12,0,14,3,2.7840459721351447
46113896149,16,12,3,14,4,2.9521461532593625
46213966799,9,10,2,14,6,3.101179278507257
46313570966,10,10,0,17,3,3.112317682725397
46413445060,11,13,0,18,2,3.100690334590334
46514607027,8,11,0,20,0,3.092281972649574
46615304131,6,8,0,20,0,3.0860303800750613
46714191552,12,9,0,20,0,3.073876237852532
46814807990,15,10,0,20,0,3.0588643272481413
46915426455,7,16,0,20,0,3.0517171541315355
47013842148,23,8,3,20,0,3.0556213189279733
47114846290,9,20,0,20,0,3.0944185989322652
47214588518,10,12,0,20,0,3.0845501632856673
47303521745,6,9,0,20,0,3.0785866624626625
47414014217,13,7,0,20,0,3.065701795439526
47513941959,6,10,0,20,0,3.059713209762535
47613365985,8,7,0,20,0,3.05186411776316
47714998616,10,10,0,20,0,3.0422477268852472
47814081843,10,8,0,20,0,3.0329306352941194
47914164330,10,12,0,20,0,3.0232332338762236
48014908703,9,10,0,20,0,3.014530556024685
48114082311,10,8,0,20,0,3.0048967941081277
48213982440,11,10,0,20,0,2.9943180258064537
48313348050,11,10,0,20,0,2.9841495435551297
48414972359,8,11,0,20,0,2.9766508720743854
48513798652,9,7,0,20,0,2.9689582205882377
48614510420,12,12,0,20,0,2.957683517834397
48714853034,10,11,0,20,0,2.9483668812698425
48814340584,11,9,0,20,0,2.938429369819679
48914437338,9,11,0,20,0,2.9301691952681406
49013877480,11,8,0,20,0,2.9201316353348026
49113934786,10,11,0,20,0,2.911283850203701
49213866540,6,11,0,20,0,2.9061912417891804
49313682275,14,7,0,20,0,2.8939541731547838
49413480177,11,13,0,20,0,2.8842023904407226
49513409521,14,11,0,20,0,2.8720479885661336
49614159398,13,16,0,20,0,2.8606563708833512
49713779498,13,10,0,20,0,2.849384434702639
49814361657,7,15,0,20,0,2.843337253594374
49914740559,10,8,0,20,0,2.834771581274781
50013815086,11,7,0,20,0,2.825745889057753
50113506044,6,13,0,20,0,2.8206181862864104
50214549324,13,7,0,20,0,2.8100593016016946
50313702086,11,10,0,20,0,2.800954564759038
50414122694,7,12,0,20,0,2.7951077225728906
